Wiek;Ogółem;Wyższe;Policealne;Średnie;Zasadnicze zawodowe;Gimnazjalne;Podstawowe
Ogółem;32679614;5693731;826512;9704770;7260817;1650932;5793470
15;432042;0;0;0;0;18600;399001
16;456625;0;0;0;0;300120;137640
17;481396;0;0;0;2243;425874;33529
18;498479;0;0;36298;15788;407073;21663
19;524430;0;2058;201169;51245;230538;17528
20;545997;893;3600;349308;66498;83349;15835
21;548971;4605;9081;384994;62219;41073;16059
22;560461;80254;13744;322309;60381;32622;16361
23;581839;126955;17943;289382;61641;27778;16835
24;593338;176718;19926;246482;63939;23535;16510
25;629210;217085;20187;224513;77073;12119;24422
26;654180;237448;20035;213925;86644;4858;30796
27;676852;250810;21004;207182;96120;2397;33318
28;667891;244627;19251;197068;103443;1556;34749
29;636193;228823;17873;181814;106397;1113;34619
30;637491;225359;17981;176798;113706;1073;36222
31;638627;219708;17855;177749;122375;838;37701
32;625515;207160;17125;176128;127658;715;38431
33;611315;192091;17474;173216;136711;563;38175
34;616358;185331;18466;175506;145015;512;41262
35;600996;168540;18077;172638;152013;588;42028
36;580412;153700;16433;165874;158013;478;42568
37;556248;139503;15074;158901;161444;420;41520
38;535373;128420;14347;155070;160940;404;40492
39;516809;117109;14155;149551;163383;412;39239
40;496946;104690;13138;144473;161328;341;41388
41;480095;96196;12321;141024;160069;393;40908
42;471824;90837;12166;136964;162142;414;42013
43;464563;84636;11873;135773;161284;331;43853
44;468448;83168;12855;137115;163052;247;45800
45;472718;81124;12442;140386;167552;298;45291
46;479109;78360;12759;146563;170777;326;44319
47;489765;78233;13140;151741;175455;316;44727
48;497849;76913;15023;155466;177861;360;46824
49;514764;75409;17955;163604;182120;303;49997
50;533960;75918;20888;167689;189341;358;54947
51;575136;79349;23117;182015;201451;360;63565
52;597230;80583;24715;188625;206773;287;71428
53;614855;80611;25252;193865;208109;438;81286
54;601110;78689;23612;187027;199396;388;89138
55;608901;77515;22006;188816;198250;468;99553
56;591522;73195;19098;185855;188769;527;102939
57;578385;69470;19534;182723;181422;450;105783
58;561381;65857;16746;180366;172932;376;107924
59;560374;65454;15894;176494;173490;572;111665
60;530733;64613;16668;162923;158247;461;113050
61;503095;62727;14936;152878;145028;408;113481
62;480798;59721;14359;145616;132712;494;115302
63;453524;56217;13754;135807;119411;445;116633
64;415329;54508;12647;121279;103353;487;113534
65;310437;39761;9016;86142;71900;421;96181
66;273563;33870;7373;73512;58945;419;93064
67;279572;34188;6925;70005;57378;455;104505
68;255404;31090;5831;61801;46899;320;104201
69;266596;31272;5781;63133;44879;543;115304
70;269727;29426;5219;65335;42493;590;120831
71;282275;31288;5036;67985;44058;638;127254
72;271476;27511;4692;66140;41928;662;125076
73;263459;25744;4175;64935;38508;789;123839
74;261682;25109;3819;65711;36624;820;124283
75;253704;24336;3068;63110;33495;838;123649
76;237326;21125;2535;57292;29412;964;120995
77;226410;19496;2183;53806;26053;1048;119090
78;217283;17987;2011;49006;22621;1165;119712
79;213485;17153;1841;44602;20107;1581;123567
80;206035;16293;1587;40172;17746;1564;123825
81;182344;13361;1342;31782;15155;1224;114958
82;162857;11373;955;27077;13171;1198;105255
83;141156;9340;1027;21631;10122;890;94637
84;123525;7482;643;18691;7437;992;84686
85 lat i więcej;531836;27395;2867;71936;26677;5353;376706
Mężczyźni;15652208;2374957;228739;4443114;4489876;882706;2404343
15;220879;0;0;0;0;9259;203848
16;233105;0;0;0;0;147498;75830
17;245784;0;0;0;1380;212350;22168
18;254784;0;0;14411;7967;209869;13779
19;267836;0;842;78926;33313;132933;11600
20;279325;315;1437;153912;46238;54418;10598
21;279860;1386;3176;178095;43496;28333;10996
22;284879;24593;5584;163024;42132;22833;11022
23;296266;43137;7309;153031;43543;19639;11209
24;301230;62794;8565;137469;44359;16577;10930
25;319441;81614;8978;128052;52163;8376;16052
26;332085;91405;8719;122977;57848;3392;20520
27;342919;98963;9219;117354;63795;1687;21829
28;338640;98291;8177;109475;68082;999;22927
29;322547;91966;7218;99753;69339;775;22651
30;322664;91380;6615;95619;73322;686;23045
31;323999;90255;6238;95330;78256;466;24005
32;317632;84163;5529;92931;81189;473;24668
33;309885;80285;5514;88750;85491;333;23748
34;312646;76464;5377;89160;90809;345;25684
35;304311;69252;5331;86768;94627;328;24843
36;294184;63443;4787;81821;97321;207;25066
37;282409;58302;4102;77552;98517;269;24193
38;270997;53365;4009;75593;97513;255;23293
39;261249;47777;3930;71542;99184;215;22237
40;251378;41915;3168;69144;98343;171;23082
41;242192;38108;3127;66958;97238;241;22159
42;238198;35693;2995;64212;98915;206;22663
43;234105;33496;2943;62708;98262;169;23546
44;235516;33138;3166;62287;99710;114;24282
45;238303;32140;2998;63132;102723;188;24286
46;240471;30492;3383;64682;105036;140;23663
47;244708;30073;3272;66427;107840;167;23755
48;248585;29075;3899;69037;109156;228;24212
49;256368;29370;4131;71603;112780;132;25169
50;264256;30814;4903;71678;116936;195;27042
51;283294;32900;5370;76319;124190;201;31340
52;293556;33610;5329;79070;127973;127;34580
53;300547;34555;5046;81472;127934;258;38236
54;292695;33573;4719;77975;122550;213;41904
55;295828;34772;4309;77514;120988;186;46592
56;284665;33285;3596;75077;113624;263;47801
57;276516;32344;3865;73220;107817;185;49416
58;267164;30770;3284;71077;104568;149;49029
59;264305;30369;3141;69234;102568;289;49884
60;248864;30327;3395;64763;94668;177;48013
61;233825;30396;3021;60208;86595;172;46735
62;222330;29155;3146;57997;79019;209;46788
63;208261;27350;2895;54514;71535;173;46314
64;188208;27152;2465;49341;60248;162;44594
65;139305;19553;1711;35613;42749;116;36276
